N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"73,700","1,200",-1.60%,100,"4,399,730","5,969,783",52.22,"13,927,074",14.29,9.99,
2,LG에너지솔루션,"463,000","19,000",-3.94%,500,"1,083,420","234,000",3.97,"3,094,931",313.90,N/A,
3,SK하이닉스,"132,500",500,+0.38%,"5,000","964,603","728,002",50.50,"4,922,509",11.98,9.53,
4,삼성전자우,"67,100","1,800",-2.61%,100,"552,157","822,887",74.85,"1,268,289",13.01,N/A,
5,NAVER,"322,000","5,500",-1.68%,100,"528,238","164,049",55.19,"423,209",3.19,15.22,
6,삼성바이오로직스,"763,000","9,000",+1.19%,"2,500","504,839","66,165",10.51,"59,721",122.99,N/A,
7,LG화학,"619,000","14,000",-2.21%,"5,000","436,967","70,592",49.43,"217,784",16.13,2.93,
8,카카오,"88,800","2,900",-3.16%,100,"396,014","445,962",28.42,"3,977,340",34.96,2.70,
9,현대차,"176,500","6,500",-3.55%,"5,000","377,124","213,668",27.49,"1,345,922",8.94,2.04,
10,삼성SDI,"526,000","21,000",-3.84%,"5,000","361,701","68,765",44.19,"432,707",32.99,4.54,
11,기아,"77,000","2,000",-2.53%,"5,000","312,130","405,363",35.29,"1,348,096",6.98,5.05,
12,KB금융,"64,600","1,200",-1.82%,"5,000","268,612","415,808",71.93,"1,518,662",6.18,8.53,
13,POSCO,"284,000","6,000",-2.07%,"5,000","247,611","87,187",52.85,"258,653",4.25,3.61,
14,셀트리온,"158,500",0,0.00%,"1,000","218,646","137,947",20.60,"384,757",40.33,16.68,
15,현대모비스,"223,000","8,000",-3.46%,"5,000","210,898","94,573",34.34,"215,242",8.98,4.66,
16,카카오뱅크,"43,950","1,800",+4.27%,"5,000","208,832","475,159",15.52,"2,363,853",142.23,5.08,
17,신한지주,"40,400",700,-1.70%,"5,000","208,706","516,600",61.85,"1,582,951",5.36,8.20,
18,LG전자,"123,000","3,500",-2.77%,"5,000","201,287","163,648",28.59,"973,039",17.75,13.23,
19,삼성물산,"107,500","1,000",-0.92%,100,"200,904","186,887",15.76,"293,642",12.23,3.81,
20,SK이노베이션,"204,500","2,500",-1.21%,"5,000","189,092","92,466",23.63,"437,613","-6,014.71",-13.58,
21,카카오페이,"128,500","2,000",+1.58%,500,"169,555","131,949",42.72,"221,593",-639.30,-17.97,
22,SK,"221,500","1,500",-0.67%,200,"164,241","74,149",21.87,"128,345",25.89,1.11,
23,하나금융지주,"50,000","1,200",-2.34%,"5,000","150,121","300,242",70.74,"1,344,317",4.67,8.96,
24,LG생활건강,"950,000","2,000",-0.21%,"5,000","148,373","15,618",42.44,"35,661",19.77,17.92,
25,한국전력,"22,200",300,-1.33%,"5,000","142,516","641,964",14.52,"1,293,468",-13.08,2.91,
26,크래프톤,"267,500","8,500",+3.28%,100,"131,000","48,972",28.91,"544,226",20.97,61.86,
27,삼성생명,"62,700","1,700",-2.64%,500,"125,400","200,000",12.79,"218,477",8.02,3.53,
28,SK바이오사이언스,"162,500","6,500",+4.17%,500,"124,312","76,500",4.90,"639,837",62.57,13.25,
29,HMM,"25,000",650,+2.67%,"5,000","122,260","489,039",10.58,"4,139,270",3.15,8.93,
30,삼성전기,"162,500","5,500",-3.27%,"5,000","121,377","74,694",29.72,"524,849",12.49,10.92,
31,SK텔레콤,"54,700",200,-0.36%,100,"119,702","218,833",44.99,"488,109",8.49,6.44,
32,LG,"75,500",500,+0.67%,"5,000","118,762","157,301",36.18,"363,615",4.98,7.50,
33,엔씨소프트,"510,000","1,000",-0.20%,500,"111,966","21,954",43.29,"160,638",31.49,20.83,
34,KT&G,"79,600",400,-0.50%,"5,000","109,285","137,292",36.28,"255,651",9.18,13.22,
35,우리금융지주,"14,700",450,-2.97%,"5,000","107,025","728,061",34.08,"5,041,147",4.50,5.87,
36,삼성에스디에스,"137,000","4,000",-2.84%,500,"106,008","77,378",11.45,"85,645",15.60,6.71,
37,하이브,"254,000","2,000",+0.79%,500,"105,038","41,353",16.10,"165,986",90.36,12.52,
38,대한항공,"29,900",250,-0.83%,"5,000","103,998","347,821",12.32,"2,327,647",14.04,-7.22,
39,S-Oil,"90,300","3,100",+3.56%,"2,500","101,662","112,583",77.92,"564,208",8.69,-13.07,
40,아모레퍼시픽,"172,500","2,500",-1.43%,500,"100,900","58,493",30.01,"163,684",66.53,0.78,
